text,label
"Create a full content marketing strategy for a fintech brand, including SEO keyword mapping, editorial calendar, backlink acquisition tactics, and conversion funnel optimization for 6 months.",complex
"Design an OKR framework for a 200-person organization undergoing digital transformation, including cascading objectives from executive to individual contributor level and measurement cadences.",complex
"Build a churn prediction model using gradient boosting on customer behavioral data, define the feature engineering pipeline, and propose proactive retention interventions based on risk tiers.",complex
"Develop a crisis communication plan for a SaaS company that has suffered a data breach exposing 500,000 user records, including stakeholder messaging, regulatory notification timelines, and PR strategy.",complex
Analyze supply chain risks for a consumer electronics company with single-source suppliers in Southeast Asia and propose a multi-sourcing strategy with risk-weighted cost-benefit analysis.,complex
"Design a zero-based budgeting process for a department of 40 people transitioning from activity-based costing, including change management tactics and variance reporting cadence.",complex
"Build a customer lifetime value (CLTV) segmentation model using RFM analysis and cohort retention curves, and map each segment to a differentiated CRM engagement strategy.",complex
"Create a comprehensive influencer marketing strategy for a sustainable fashion brand, including micro vs. macro influencer mix, attribution modeling, and brand safety guardrails.",complex
"Develop a multi-scenario financial model in Excel for a Series B SaaS startup, with base, bull, and bear cases, sensitivity analysis on CAC and churn, and investor-ready waterfall charts.",complex
"Design a product-led growth (PLG) motion for a developer tools company, detailing the freemium conversion funnel, in-app activation milestones, and virality loops.",complex
"Build a demand forecasting model for a retail chain with 200 SKUs, incorporating seasonality, promotional lift, and stockout penalties using a hierarchical time series approach.",complex
"Develop a full P&L impact analysis for outsourcing the customer support function of a 500-employee company, including transition costs, quality risk, and 3-year NPV comparison.",complex
"Develop a multi-layered curriculum for teaching advanced quantum mechanics to undergraduate students with no prior physics background, including prerequisite scaffolding, conceptual analogies, lab simulation design, and formative assessment strategies.",complex
"Analyze the socioeconomic causes and long-term consequences of hyperinflation using Zimbabwe and Weimar Germany as case studies, and propose modern monetary policy interventions.",complex
"Design a longitudinal research study to measure the cognitive impact of bilingual education on executive function in children aged 5–12, including control group design, confound mitigation, and statistical analysis plan.",complex
"Write a comprehensive comparative essay on the philosophical differences between utilitarianism and deontological ethics, applying each framework to a modern trolley problem scenario involving autonomous vehicles.",complex
"Create a graduate-level explainer on transformer neural network architectures, covering attention mechanisms, positional encoding, multi-head attention math, and how scaling laws affect emergent capabilities.",complex
Design a personalized adaptive learning system for a university platform that uses item response theory (IRT) to dynamically adjust quiz difficulty and surface knowledge gaps across 12 STEM subjects.,complex
"Develop a research methodology for a mixed-methods study on the psychological effects of social media algorithms on adolescent self-esteem, including IRB considerations, sampling strategy, and triangulation approach.",complex
"Explain the mechanism of CRISPR-Cas9 gene editing at the molecular level, compare it to older techniques like zinc finger nucleases, and discuss the ethical implications for germline editing.",complex
"Analyze the geopolitical implications of the Belt and Road Initiative across Southeast Asia using dependency theory, institutional theory, and realist IR frameworks.",complex
"Design a capstone project for a data science bootcamp that integrates SQL, Python, machine learning, and data storytelling to solve a real-world public health problem.",complex
"Build an annotated bibliography and literature synthesis on the neuroscience of decision-making under uncertainty, covering 15 peer-reviewed papers from the last decade.",complex
"Develop a full lesson plan sequence for teaching statistical inference to high school students using real-world datasets, including scaffolded activities, misconception anticipation, and formative probes.",complex
"Explain the mathematical intuition behind gradient descent, backpropagation, and the vanishing gradient problem for a student who understands calculus but has never studied ML.",complex
"Analyze the causes, mechanisms, and global health implications of antibiotic resistance, and design a public health intervention framework to combat it at the community level.",complex
Create a research proposal for studying the effectiveness of project-based learning (PBL) vs. direct instruction in improving critical thinking in middle school students.,complex
"Develop a multi-disciplinary interdisciplinary course on climate change for liberal arts students that integrates environmental science, economics, ethics, and policy design.",complex
"Design a mastery-based assessment system for a K-12 school district transitioning away from traditional grades, including competency frameworks, evidence portfolios, and parent communication strategies.",complex
Write a full three-act screenplay outline for a psychological thriller about an AI system that gains sentience and manipulates its developers through manufactured emotional dependency.,complex
"Develop a complete world-building document for a hard science fiction universe, including its physical laws, three distinct alien civilizations with unique evolutionary pressures, political systems, and a 500-year historical timeline.",complex
"Write a literary analysis comparing the narrative unreliability in 'Gone Girl' by Gillian Flynn and 'The Murder of Roger Ackroyd' by Agatha Christie, examining how each author uses POV to manipulate reader trust.",complex
"Design a tabletop RPG campaign with 10 sessions, including a branching narrative, morally ambiguous factions, hidden lore system, and encounter tables that adapt to player choices using a reputation system.",complex
"Develop the first three chapters of a literary fiction novel about a Syrian refugee family's generational trauma, using a non-linear narrative structure, multiple POVs, and magic realism elements.",complex
"Write a 2,000-word short story in the style of Ursula K. Le Guin that explores a society with no concept of individual identity, examining how collective consciousness shapes moral decision-making.",complex
"Create a full music album concept including 12 song titles, lyrical themes, sonic palette description, and a narrative arc that tells the story of a city's rise and fall over 100 years.",complex
"Develop a detailed character bible for an ensemble cast drama series about a family-run restaurant, including backstories, conflicting motivations, relationship dynamics, and character arcs across three seasons.",complex
"Write a 1,500-word speculative fiction story where a historian in 2150 discovers that every major 21st-century political decision was made by an AI, and must decide whether to reveal the truth.",complex
"Design a generative poetry system prompt that produces emotionally resonant poems in the style of Mary Oliver by encoding her use of nature imagery, direct address, and epiphanic endings.",complex
"Create a full interactive narrative game design document for a branching visual novel about climate grief, with 6 distinct endings, a decision tree, and emotional arc tracking per player path.",complex
"Develop a satirical stage play script (Act 1) that critiques surveillance capitalism using the structural conventions of a Shakespearean comedy, complete with mistaken identities and soliloquies.",complex
Write the pilot episode script for an anthology TV series where each episode retells the same 24-hour period from the perspective of a different socioeconomic class in the same city.,complex
"Design a collaborative worldbuilding framework for a fantasy setting rooted in West African mythology, including pantheon structures, magic systems tied to ancestral memory, and colonial-era conflict narrative.",complex
"Develop a creative brief and 3,000-word narrative treatment for a documentary about the cultural impact of piracy on the global music industry from 1999 to 2015.",complex
"Write a multi-voice epistolary novel opening (3 distinct voices, 500 words each) set during a near-future water scarcity crisis, with each narrator having a conflicting agenda.",complex
"Create a detailed villain arc for a comic book series antagonist whose motivation is morally defensible, including origin story, philosophical manifesto, turning point moments, and final confrontation design.",complex
"Design a 12-week periodized strength and hypertrophy training program for an intermediate lifter, including macrocycle structure, progressive overload schemes, deload weeks, RPE targets, and nutritional periodization to support performance.",complex
"Create a 6-month personalized travel itinerary for a solo backpacker with a $15,000 budget visiting Southeast Asia and South America, including visa logistics, budget breakdowns by country, seasonal considerations, and safety risk assessments.",complex
"Develop a comprehensive nutrition and meal planning protocol for an endurance athlete preparing for an Ironman triathlon, covering macronutrient periodization, race-day fueling strategy, gut training, and supplement stack justification.",complex
"Design a financial independence roadmap for a 30-year-old with $40,000 in student debt and a $75,000 salary, including debt avalanche modeling, tax-advantaged investment sequencing, and a Monte Carlo simulation for retirement at 50.",complex
"Build a personalized cognitive behavioral therapy (CBT) self-help workbook structure for managing social anxiety, including psychoeducation modules, thought record templates, exposure hierarchy design, and progress tracking.",complex
"Create a comprehensive home renovation project plan for a full kitchen remodel on a $30,000 budget, including contractor vetting criteria, material sourcing strategy, permit requirements, and a 10-week Gantt chart.",complex
"Develop a deeply personalized language learning roadmap to reach B2 Japanese proficiency in 18 months for an English speaker with no prior exposure, including SRS scheduling, immersion strategies, and milestone assessments.",complex
"Design a 30-day mindfulness and productivity system integrating time-blocking, journaling, deep work protocols, and habit stacking, with weekly review templates and adaptation triggers.",complex
"Build a detailed 10-day Japan travel itinerary for a couple interested in traditional culture, food, and hiking, including Shinkansen logistics, accommodation tiers, temple etiquette, and daily budget breakdowns.",complex
"Create a comprehensive fertility wellness plan integrating nutrition, stress reduction, cycle tracking, and evidence-based supplement protocols for a couple trying to conceive naturally.",complex
"Design a sustainable personal finance overhaul for a household of 4 earning $90,000/year in a high cost-of-living city, covering zero-based budgeting, emergency fund strategy, tax optimization, and a 5-year net worth projection.",complex
"Develop a personalized curriculum for learning classical guitar from beginner to grade 5 ABRSM level, including technique progression, repertoire selection, practice structure, and performance anxiety management.",complex
"Build a year-long personal development plan for a mid-career professional transitioning from engineering to product management, including skill gap analysis, certification roadmap, networking strategy, and 30/60/90-day plans for a new PM role.",complex
"Create a full moving-abroad guide for a remote worker relocating from the US to Portugal, covering visa options (D8 vs NHR), tax implications, healthcare setup, housing market research, and cultural integration strategies.",complex
"Design an allergen-free weekly meal plan for a family of 4 with one member having celiac disease, one with a tree nut allergy, and one following a vegan diet, including a consolidated shopping list and batch cooking schedule.",complex
"Build a 90-day postpartum recovery plan integrating pelvic floor rehabilitation, gradual return to exercise, sleep optimization strategies, and mental health check-ins for a new mother.",complex
"Develop a personalized anti-inflammatory lifestyle protocol for someone with early-stage rheumatoid arthritis, covering dietary adjustments, sleep hygiene, stress management, low-impact movement programming, and supplement evidence review.",complex
"Design an end-to-end AI-powered customer support system for a telecom company handling 2 million monthly contacts, including intent classification architecture, escalation logic, agent assist tools, CSAT prediction models, and A/B testing framework for deflection optimization.",complex
"Develop a comprehensive knowledge base taxonomy and content strategy for a SaaS product with 50 features, covering article templates, search optimization, version control workflows, and feedback loop integration with the engineering team.",complex
"Build a voice of the customer (VoC) program from scratch for an e-commerce company, integrating NPS, CSAT, and CES surveys, social listening, support ticket mining, and a closed-loop action planning process.",complex
"Design a multi-channel customer escalation framework for a fintech company that handles chargebacks, fraud disputes, and regulatory complaints, including SLA matrices, compliance documentation trails, and cross-functional resolution workflows.",complex
"Develop a fully automated troubleshooting guide for a smart home IoT device with 20 common failure modes, including decision tree logic, self-diagnostic prompts, and escalation paths to human agents with pre-populated context.",complex
"Create a customer health scoring model for a B2B SaaS company that predicts churn risk 90 days out using support ticket frequency, feature adoption signals, and NPS trends, with playbooks for each risk tier.",complex
"Design a proactive customer communication strategy for a subscription box company, covering pre-shipment engagement, in-transit notifications, post-delivery feedback capture, and win-back sequences for cancellations.",complex
"Build a multilingual customer support knowledge base for a global HR software company serving 25 countries, including localization workflow, terminology management, and quality assurance process for non-English content.",complex
"Develop a root cause analysis (RCA) framework for a customer support team experiencing a 40% increase in ticket volume after a product update, including diagnostic methodology, cross-functional stakeholder alignment, and fix prioritization.",complex
"Design a customer onboarding journey for a complex enterprise software product that reduces time-to-value from 90 days to 30 days, using guided walkthroughs, milestone-based check-ins, and proactive support triggers.",complex
"Build a predictive support model that uses historical ticket data to pre-emptively contact customers likely to experience an issue within 7 days, detailing the ML pipeline, data requirements, and outreach personalization logic.",complex
"Create a comprehensive agent training curriculum for a newly hired customer support cohort at a healthcare SaaS company, covering HIPAA compliance, de-escalation techniques, product knowledge certification, and quality rubric design.",complex
"Develop a social media crisis response playbook for a retail brand facing viral backlash over a controversial product, including response templates, escalation trees, spokesperson guidelines, and post-crisis sentiment recovery strategy.",complex
"Design a customer feedback loop system that automatically tags incoming support tickets by theme, routes critical product bugs to engineering in real-time, and generates weekly executive summaries with trend visualizations.",complex
"Build a tiered SLA framework for a cloud infrastructure company with SMB, enterprise, and government clients, covering response time targets, breach notification protocols, credit calculation formulas, and QBR reporting templates.",complex
